DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2002-10-31,47,300563,551,985,300599,603895,600326,637,300649,300451,300519,626,603168,300743,26,667,931,419,543,603277,534,300627,300625,918,981,573,603416,603886,603159,707,809,928,600,692,600331,600229,603358,603888,300183,300554,633,20,300136,300132,300269,300318,300652,600355,300093,300666,65,29,12,795,300611,300096,31,300729,691,300615,300660,708,300698,507,603266,68,603289,300106,825,880,902,606
2002-11-29,300563,985,300519,600326,47,603895,300599,637,300649,551,600331,603168,619,692,419,61,300627,534,626,967,533,543,893,882,603198,300058,793,600234,300743,629,300727,300031,603098,300629,600235,600,300432,300648,776,300451,752,603159,600343,59,600297,520,300269,600312,829,300430,4,701,603298,300429,825,19,300478,572,99,300578,779,300319,603323,300568,300061,600901,300543,300715,300697,552,300628,709
2002-12-31,600281,300563,819,603895,300599,47,985,300519,637,300649,626,603168,600272,534,300629,667,603117,419,629,543,300024,762,621,611,603883,797,300050,600195,603128,300627,300229,603330,785,603106,88,600296,665,718,603308,300716,890,300543,763,908,750,935,677,300730,603311,600223,300538,300690,300570,34,552,2187,300365,920,55,600345,888,78,627,300322,300671,603871,18,300742,300662,755,300557,551
2003-01-29,603567,637,300563,985,603895,47,603886,626,419,603159,600,603198,534,300627,300536,543,300629,61,603168,300658,300433,600233,600230,600331,300604,783,667,300096,300074,300722,300027,831,300050,629,300687,631,603501,63,300514,300498,856,50,1,300589,300496,300269,603323,839,300670,300579,300571,825,49,600296,799,430,300705,300665,300469,300163,603611,300747,300481,488,158,915,300698,300109,300628,603128,300006,300649
2003-02-28,603895,985,819,47,600329,300563,603886,626,419,300629,629,603168,300627,300237,533,967,603577,831,300535,603159,625,600230,425,26,300710,88,300027,300635,300315,300547,300093,549,667,603585,300279,603198,600291,300094,300532,603197,895,710,300284,90,608,600267,975,300571,600262,42,300498,300082,300549,603303,531,546,716,300679,300671,691,300399,600272,888,600261,596,603228,661,600302,933,300639,932,719
2003-03-31,816,819,300563,47,603895,818,600329,603886,626,419,603168,300627,300506,783,603578,300536,600315,667,300682,300554,511,300535,629,300013,300743,609,573,793,600233,603501,300664,603198,300736,598,603566,586,300582,603159,300577,806,300006,531,16,608,549,300551,300503,506,603520,150,27,600896,300552,697,300695,300707,981,552,888,300030,603199,557,300672,677,799,300102,596,603323,300481,300662,603126,556
2003-04-30,300555,600329,47,816,818,819,603895,868,300563,419,626,300629,300627,603168,534,554,631,573,300686,300658,603577,300504,543,300706,510,38,892,300181,300338,828,300635,300536,603198,300612,603879,600272,627,711,300499,603517,591,300041,600261,539,603090,411,300651,430,901,603196,300069,603866,688,600331,603536,300600,692,522,603103,600303,603385,300656,790,300183,300229,600247,300006,544,300543,917,725,603316
2003-05-30,300326,554,408,47,300599,401,603895,868,610,819,300633,603603,300735,300641,818,600329,816,751,832,300588,300555,600222,669,300537,626,603168,573,419,603886,600235,300627,952,793,300295,667,510,663,603557,300372,300480,805,21,300660,522,603233,603337,628,760,300737,300109,300033,55,851,410,675,300233,300696,897,600322,66,534,850,300685,980,300578,603348,19,912,603580,707,866,810
2003-06-30,600243,603505,300622,600222,751,554,300537,300588,600329,868,603895,603603,300555,300641,832,610,669,816,401,300633,300735,818,408,626,629,819,603168,300627,600,300573,667,300339,631,603886,603383,601,893,829,603319,300204,300723,885,761,300664,600297,805,300098,300563,300011,300183,300513,33,600292,823,817,839,600255,663,300725,300737,55,300545,300540,300525,603557,968,600299,300131,789,799,300509,300699
2003-07-31,300735,300633,554,300537,408,603603,600329,401,832,300622,816,669,300555,610,868,300588,603168,626,300635,603886,667,300489,300682,629,300627,300348,300705,407,603286,300108,300121,779,300378,609,603855,783,603266,90,430,300548,603363,300498,603331,603283,603557,300481,608,300730,660,707,31,300695,936,976,33,300117,300554,300598,658,300721,300576,603166,300510,730,859,975,603518,866,736,300589,300131,603895
2003-08-29,300440,868,300588,401,300735,816,669,300537,554,610,300622,603603,832,408,594,300633,603168,626,629,300024,667,603882,603879,300627,543,959,603277,2840,600256,300295,603881,925,300108,600197,300569,600235,603878,603208,761,419,776,611,300128,912,300600,859,300620,300611,600313,49,600299,603612,603157,556,569,58,779,300738,300309,603398,300590,300625,600292,300509,603579,819,603228,300737,300722,603895,715,961
2003-09-30,300334,401,686,816,669,408,300622,868,594,300675,300537,832,300735,554,300588,798,603168,667,603886,631,733,300635,629,600233,598,959,600354,300506,300535,600267,300315,300569,300682,548,626,519,600247,300616,688,778,300702,933,406,685,603444,300015,300037,300590,603895,300520,726,600343,300440,600277,600313,600242,603499,300731,300603,300354,300074,676,14,802,300580,603196,300538,603333,581,300257,300227,603603
